City,Country,Lat,Lon,Date,Max Temp (cs),Humidity,Cloudiness,Wind Speed (mph)
Nara,JP,34.6851,135.8049,1622659770,19.72,69,14,1.72
Lafia,NG,8.4833,8.5167,1622659770,29.95,56,96,0.91
Avarua,CK,-21.2078,-159.775,1622659771,25.03,69,65,6.17
Nanortalik,GL,60.1432,-45.2371,1622659771,4.78,79,100,6.23
Barrow,US,71.2906,-156.7887,1622659771,-1.99,74,90,7.72
Atherton,GB,53.5237,-2.4935,1622659771,22.75,75,69,5.05
Puerto Ayora,EC,-0.7393,-90.3518,1622659592,26.98,79,92,3.58
Half Moon Bay,US,37.4636,-122.4286,1622659509,26.94,70,90,3.6
Mataura,NZ,-46.1927,168.8643,1622659772,9.71,97,24,1.15
San Luis de la Paz,MX,21.3,-100.5167,1622659772,23.12,40,100,2.59
Deputatsky,RU,69.3,139.9,1622659773,12.26,34,52,1.19
Khatanga,RU,71.9667,102.5,1622659773,0.71,86,100,1.27
Kajaani,FI,64.2273,27.7285,1622659773,21.03,35,0,1.54
Lebu,CL,-37.6167,-73.65,1622659572,13.46,91,100,4.11
Kapaa,US,22.0752,-159.319,1622659774,27.29,74,40,0.89
Richards Bay,ZA,-28.783,32.0377,1622659774,16.14,80,1,2.87
Buraidah,SA,26.326,43.975,1622659774,37.25,10,1,4.81
Guerrero Negro,MX,27.9769,-114.0611,1622659775,22.11,53,7,5.91
Roald,NO,62.5833,6.1333,1622659775,20.65,48,0,2.06
Bredasdorp,ZA,-34.5322,20.0403,1622659608,13.62,88,38,4.21
Ust-Nera,RU,64.5667,143.2,1622659775,7.58,71,9,1.09
Ponta Delgada,PT,37.7333,-25.6667,1622659776,17.4,51,20,4.63
Otse,BW,-25.0167,25.7333,1622659776,9.29,49,0,2.51
Amalāpuram,IN,16.5833,82.0167,1622659754,28.22,85,5,1.37
Mudhol,IN,16.35,75.2833,1622659777,23.87,86,96,7.27
Souillac,MU,-20.5167,57.5167,1622659777,24.64,69,40,7.44
Carnarvon,AU,-24.8667,113.6333,1622659568,14.04,77,100,4.63
Ukiah,US,39.1502,-123.2078,1622659778,35.57,38,1,0.0
Codrington,AU,-38.2667,141.9667,1622659778,9.5,87,39,3.11
Tazovsky,RU,67.4667,78.7,1622659778,2.11,68,100,1.82
Zhezkazgan,KZ,47.8043,67.7144,1622659598,21.71,53,70,2.54
Yangi Marg`ilon,UZ,40.4272,71.7189,1622659779,26.4,27,40,3.09
Hermanus,ZA,-34.4187,19.2345,1622659575,17.72,81,33,6.31
Hong Kong,HK,22.2855,114.1577,1622659779,29.62,90,100,3.15
Brae,GB,60.3964,-1.353,1622659779,11.95,70,0,5.95
Uzhur,RU,55.3036,89.8339,1622659780,15.23,68,16,2.18
Wanning,CN,18.8003,110.3967,1622659780,27.7,94,100,3.91
Atuona,PF,-9.8,-139.0333,1622659666,26.68,72,100,7.12
Rudnyy,KZ,52.9594,63.1206,1622659780,16.59,52,3,3.57
Nhlangano,SZ,-27.1167,31.2,1622659781,8.85,64,80,1.33
Busselton,AU,-33.65,115.3333,1622659592,15.57,68,100,1.34
Los Llanos de Aridane,ES,28.6585,-17.9182,1622659549,19.86,86,40,4.16
Douglas,US,41.3,-96.167,1622659693,27.19,37,40,1.34
Khanbari,NP,27.3747,87.2039,1622659781,21.52,86,64,0.88
Cidreira,BR,-30.1811,-50.2056,1622659782,19.98,71,100,4.33
Kaeo,NZ,-35.1,173.7833,1622659782,11.85,92,100,1.5
Mount Gambier,AU,-37.8333,140.7667,1622659530,7.95,93,90,0.0
Palatka,US,29.6486,-81.6376,1622659783,31.66,72,100,2.06
Opoczno,PL,51.3757,20.2783,1622659783,15.53,63,83,2.96
Bluff,NZ,-46.6,168.3333,1622659661,9.89,82,100,4.95
Te Anau,NZ,-45.4167,167.7167,1622659783,6.01,93,49,0.65
Broome,US,42.2506,-75.833,1622659784,20.61,84,90,2.68
Saint Paul Harbor,US,57.79,-152.4072,1622659784,8.73,87,90,2.57
Qaanaaq,GL,77.484,-69.3632,1622659574,-2.24,77,98,1.44
Clyde River,CA,70.4692,-68.5914,1622659785,-2.87,93,90,2.57
Poum,NC,-20.2333,164.0167,1622659773,22.32,63,84,4.78
Constantine,DZ,36.365,6.6147,1622659785,26.67,50,20,2.06
Oktyabr'skiy,RU,54.4815,53.471,1622659785,11.16,93,98,4.27
Kyren,RU,51.6828,102.1408,1622659786,10.33,62,0,1.09
George Town,MY,5.4112,100.3354,1622659786,28.27,87,20,1.34
Sola,VU,-13.8833,167.55,1622659786,26.33,80,100,11.05
Ahipara,NZ,-35.1667,173.1667,1622659786,13.64,77,100,2.49
Aranos,NA,-24.1333,19.1167,1622659787,9.57,29,0,4.54
Castro,BR,-24.7911,-50.0119,1622659787,19.75,76,24,3.31
Queanbeyan,AU,-35.35,149.2333,1622659787,9.25,91,90,0.0
Hilo,US,19.7297,-155.09,1622659788,25.44,78,90,3.6
Bremervörde,DE,53.4833,9.1333,1622659788,23.97,90,8,3.57
Minna,NG,9.6139,6.5569,1622659788,28.12,63,14,1.85
Moree,AU,-29.4667,149.85,1622659789,14.01,88,75,5.14
Vaini,TO,-21.2,-175.2,1622659789,19.09,94,20,1.03
Vágur,FO,61.4732,-6.8119,1622659789,9.8,92,100,2.62
Jaen,ES,38.0,-3.5,1622659790,25.52,24,0,3.94
Muros,ES,42.7762,-9.0603,1622659790,16.28,78,100,5.16
Port Alfred,ZA,-33.5906,26.891,1622659570,16.31,79,99,8.89
Zambezi,ZM,-13.5432,23.1047,1622659790,17.25,46,55,1.98
Tamiahua,MX,21.2667,-97.45,1622659791,30.3,60,98,5.16
Upernavik,GL,72.7868,-56.1549,1622659791,0.02,82,100,3.35
Pokhara,NP,28.2333,83.9833,1622659791,20.34,75,13,2.78
Pangai,TO,-19.8,-174.35,1622659553,23.06,78,75,4.63
São Félix do Xingu,BR,-6.6447,-51.995,1622659792,32.66,41,12,2.19
Jamestown,US,42.097,-79.2353,1622659558,21.77,49,75,4.63
Ngunguru,NZ,-35.6167,174.5,1622659792,11.76,68,100,2.68
Hithadhoo,MV,-0.6,73.0833,1622659598,28.84,67,100,7.31
Butaritari,KI,3.0707,172.7902,1622659793,28.3,78,100,6.94
Cape Town,ZA,-33.9258,18.4232,1622659503,16.23,82,0,2.68
Ibaté,BR,-21.9547,-47.9967,1622659793,27.41,32,13,2.03
Lavrentiya,RU,65.5833,-171.0,1622659793,-0.7,69,36,7.12
Rūdbār,AF,30.15,62.6,1622659794,36.47,8,0,3.25
Bambous Virieux,MU,-20.3428,57.7575,1622659794,24.56,69,40,8.01
Lüderitz,NA,-26.6481,15.1594,1622659752,19.84,29,0,6.05
Provideniya,RU,64.3833,-173.3,1622659794,1.53,56,11,2.54
Iqaluit,CA,63.7506,-68.5145,1622659795,0.85,93,90,5.36
Medvode,SI,46.1333,14.4333,1622659795,19.36,40,20,0.74
Mitzic,GA,0.7821,11.549,1622659795,20.48,96,92,1.24
Inhambane,MZ,-23.865,35.3833,1622659795,20.99,88,40,3.09
Wawa,NG,9.9022,4.4192,1622659796,31.44,43,83,2.73
Cabo San Lucas,MX,22.8909,-109.9124,1622659796,34.17,48,29,2.73
Yellowknife,CA,62.456,-114.3525,1622659796,16.29,77,40,2.57
Novaya Chigla,RU,51.2233,40.4781,1622659797,15.35,64,100,7.9
Gualaquiza,EC,-3.4,-78.55,1622659507,24.8,70,58,1.86
Ponta do Sol,PT,32.6667,-17.1,1622659797,19.51,54,95,4.34
Thabazimbi,ZA,-24.5917,27.4116,1622659797,10.86,43,0,0.74
Tomatlán,MX,19.9333,-105.25,1622659567,35.73,37,100,3.91
San Patricio,US,28.017,-97.5169,1622659798,31.68,54,34,3.55
College,US,64.8569,-147.8028,1622659798,15.61,64,75,0.0
Puerto Escondido,MX,15.85,-97.0667,1622659798,31.46,62,40,3.6
Asău,RO,46.4333,26.4,1622659799,12.09,75,100,2.76
Talara,PE,-4.5772,-81.2719,1622659799,25.42,65,20,5.66
New Norfolk,AU,-42.7826,147.0587,1622659799,11.07,78,100,0.45
Yārāda,IN,17.65,83.2667,1622659800,26.18,100,75,3.03
San Quintín,MX,30.4833,-115.95,1622659800,20.02,66,7,4.76
Naliya,IN,23.2667,68.8333,1622659800,29.15,74,8,6.35
Serebryansk,KZ,49.6925,83.2892,1622659801,20.75,84,100,2.17
Gīdolē,ET,5.65,37.3667,1622659801,15.76,66,100,1.54
Santa Vitória do Palmar,BR,-33.5189,-53.3681,1622659593,17.38,58,15,5.52
Guéret,FR,46.1667,1.8667,1622659801,19.35,79,58,1.89
Cayenne,GF,4.9333,-52.3333,1622659750,31.02,77,40,1.34
Ambikāpur,IN,23.1167,83.2,1622659802,26.3,56,51,0.91
Ilulissat,GL,69.2167,-51.1,1622659802,4.65,64,0,3.17
Nhulunbuy,AU,-12.2333,136.7667,1622659803,21.34,94,18,2.06
Gorontalo,ID,0.5412,123.0595,1622659805,22.51,89,99,0.98
Koupéla,BF,12.1794,-0.3517,1622659805,36.95,27,32,3.17
West Plains,US,36.7281,-91.8524,1622659805,19.89,92,90,2.09
Río Gallegos,AR,-51.6226,-69.2181,1622659507,-3.97,86,0,2.06
Laguna,US,38.421,-121.4238,1622659806,37.03,42,1,1.79
‘Ewa Beach,US,21.3156,-158.0072,1622659806,27.79,62,1,4.92
Chokurdakh,RU,70.6333,147.9167,1622659695,17.63,26,17,0.64
La Ronge,CA,55.1001,-105.2842,1622659537,28.14,30,75,3.09
Vung Tau,VN,10.346,107.0843,1622659807,28.54,80,99,5.38
Vestmannaeyjar,IS,63.4427,-20.2734,1622659807,8.01,69,0,2.77
Belaya Gora,RU,68.5333,146.4167,1622659609,14.58,36,0,4.37
Ust'-Shonosha,RU,61.1531,41.343,1622659807,8.4,90,94,1.74
Juneau,US,58.3019,-134.4197,1622659513,11.03,96,90,2.68
Moscow,RU,55.7522,37.6156,1622659430,16.29,72,26,3.34
Severo-Kuril'sk,RU,50.6789,156.125,1622659808,4.73,91,25,4.04
Port Keats,AU,-14.25,129.55,1622659808,24.56,65,66,0.9
Kysyl-Syr,RU,63.8986,122.7617,1622659808,12.34,81,77,2.14
Etchoropo,MX,26.7667,-109.6667,1622659809,35.79,32,85,5.14
Saskylakh,RU,71.9167,114.0833,1622659678,1.67,89,100,8.47
General Roca,AR,-39.0333,-67.5833,1622659809,13.22,32,97,4.05
Maragogi,BR,-9.0122,-35.2225,1622659809,26.25,72,2,4.15
Tuktoyaktuk,CA,69.4541,-133.0374,1622659810,1.0,69,75,5.66
Biswān,IN,27.5,81.0,1622659810,31.24,38,0,2.89
Baruun-Urt,MN,46.6806,113.2792,1622659811,6.94,52,79,4.33
Aktau,KZ,43.65,51.2,1622659811,22.32,73,0,5.35
Banyo,CM,6.75,11.8167,1622659811,19.24,93,78,1.38
Pisco,PE,-13.7,-76.2167,1622659650,18.03,88,90,2.06
Acapulco de Juárez,MX,16.8634,-99.8901,1622659699,31.9,58,75,3.97
Altay,CN,47.8667,88.1167,1622659812,19.51,46,93,2.42
São Filipe,CV,14.8961,-24.4956,1622659599,23.61,77,16,5.06
Ulladulla,AU,-35.35,150.4667,1622659812,11.6,65,100,0.64
Coquimbo,CL,-29.9533,-71.3436,1622659396,15.85,77,0,1.73
Lorengau,PG,-2.0226,147.2712,1622659811,25.22,92,100,1.05
Kloulklubed,PW,7.0419,134.2556,1622659812,28.27,77,81,1.93
Cornwall,CA,45.0181,-74.7281,1622659813,26.66,27,20,4.25
Chui,UY,-33.6971,-53.4616,1622659577,17.0,59,78,5.83
Santa Maria,BR,-29.6842,-53.8069,1622659724,21.61,60,40,2.79
Bay Roberts,CA,47.5999,-53.2648,1622659628,22.59,55,1,7.33
Pervomays'k,UA,48.0443,30.8507,1622659814,13.22,93,100,6.15
Arkhangelsk,RU,64.5401,40.5433,1622659809,12.06,76,0,2.28
Ancud,CL,-41.8697,-73.8203,1622659814,10.13,93,100,5.0
Yulara,AU,-25.2406,130.9889,1622659814,9.91,76,100,3.09
Leningradskiy,RU,69.3833,178.4167,1622659585,-2.7,91,36,4.4
Forsytheganj,BY,52.6333,29.7333,1622659815,11.26,82,27,3.66
Kot Addu,PK,30.4692,70.9671,1622659815,30.92,28,0,3.19
Ji’an,CN,27.1172,114.9793,1622659815,24.46,94,100,1.98
Vardø,NO,70.3705,31.1107,1622659816,15.99,51,0,2.57
Walvis Bay,NA,-22.9575,14.5053,1622659816,20.53,42,0,5.61
Chibuto,MZ,-24.6867,33.5306,1622659816,15.82,96,4,1.31
Verāval,IN,20.9,70.3667,1622659817,28.45,78,0,4.53
Coyhaique,CL,-45.5752,-72.0662,1622659817,6.34,87,90,2.57
Kupang,ID,-10.1667,123.5833,1622659817,24.43,83,35,4.22
Alyangula,AU,-13.8483,136.4192,1622659818,17.93,100,44,2.81
Bowen,AU,-20.0167,148.2333,1622659578,16.12,91,78,3.23
Naze,JP,28.3667,129.4833,1622659818,22.92,88,97,5.95
Faanui,PF,-16.4833,-151.75,1622659818,26.97,71,100,6.08
Arrondissement de Fontenay-le-Comte,FR,46.5833,-1.0,1622659819,20.25,76,23,2.89
Verín,ES,41.9415,-7.4381,1622659819,19.04,69,69,2.34
Tomé,CL,-36.6167,-72.95,1622659819,14.34,75,59,1.77
Minas,UY,-34.3759,-55.2377,1622659820,13.26,70,68,6.14
Avera,US,33.194,-82.5271,1622659820,29.28,33,100,2.83
Klyuchi,RU,52.2667,79.1667,1622659820,19.99,78,0,5.04
Conceição do Araguaia,BR,-8.2578,-49.2647,1622659821,35.07,36,0,1.04
Marabu,MY,4.4148,114.0089,1622659821,26.08,94,20,1.69
Sinnamary,GF,5.3833,-52.95,1622659821,27.71,80,73,3.34
Oddur,SO,4.1213,43.8894,1622659822,25.5,56,100,7.62
Alofi,NU,-19.0595,-169.9187,1622659822,21.94,100,100,2.06
Paamiut,GL,61.994,-49.6678,1622659822,3.05,92,100,3.51
Katobu,ID,-4.9408,122.5276,1622659789,23.95,91,26,1.64
Krasnosel'kup,RU,65.7,82.4667,1622659823,3.5,63,98,4.1
Saint-Augustin,CA,51.226,-58.6502,1622659823,15.35,54,72,5.28
Kavaratti,IN,10.5669,72.642,1622659824,28.52,78,100,7.16
Rome,US,43.2128,-75.4557,1622659632,23.35,66,75,2.57
Vyazemskiy,RU,47.5378,134.7525,1622659824,13.34,66,100,3.02
Blyth,GB,55.1271,-1.5086,1622659824,13.51,91,75,3.85
Porecatu,BR,-22.7558,-51.3792,1622659825,31.26,54,0,0.45
Kuril'sk,RU,45.2333,147.8833,1622659825,6.35,74,29,1.46
Esmeraldas,BR,-19.7625,-44.3139,1622659825,28.06,44,99,1.19
Garissa,KE,-0.4536,39.6401,1622659826,25.92,62,14,8.72
Santa Rosa,PH,14.3122,121.1114,1622659826,27.73,94,100,3.22
Vostok,RU,46.4856,135.8833,1622659826,9.0,89,100,2.3
Dingle,PH,10.9995,122.6711,1622659827,24.94,91,100,2.35
Portland,US,45.5234,-122.6762,1622659626,30.29,50,1,0.45
Sisimiut,GL,66.9395,-53.6735,1622659581,4.43,68,100,3.14
Mareeba,AU,-17.0,145.4333,1622659827,16.4,94,30,0.62
Umluj,SA,25.0213,37.2685,1622659828,30.1,56,4,3.68
Celestún,MX,20.8667,-90.4,1622659828,30.65,60,25,5.93
Cody,US,44.5263,-109.0565,1622659691,26.11,25,1,3.6
Katav-Ivanovsk,RU,54.7531,58.1956,1622659828,13.75,100,100,1.04
Fairbanks,US,64.8378,-147.7164,1622659684,16.16,63,90,0.0
Hede,CN,33.7681,120.2517,1622659829,19.71,92,100,1.99
Rusape,ZW,-18.5278,32.1284,1622659829,14.6,73,71,1.4
Padang,ID,-0.9492,100.3543,1622659830,25.66,87,87,2.01
Aldama,MX,22.9167,-98.0667,1622659830,27.47,51,98,4.54
Matagami,CA,49.7502,-77.6328,1622659655,22.06,43,75,4.67
Opuwo,NA,-18.0607,13.84,1622659830,17.9,28,42,4.18
Yeppoon,AU,-23.1333,150.7333,1622659831,16.88,86,6,1.26
Krasnoarmeysk,RU,51.0239,45.6969,1622659831,17.26,72,100,7.95
Los Andes,CL,-32.8337,-70.5983,1622659831,21.61,36,1,1.75
Pincher Creek,CA,49.4833,-113.952,1622659832,27.38,33,1,4.63
Kazygurt,KZ,41.7589,69.3864,1622659832,29.96,36,21,2.33
Korla,CN,41.7597,86.1469,1622659832,26.71,21,3,3.3
Makkah al Mukarramah,SA,21.4267,39.8261,1622659832,35.1,28,40,2.05
Mimongo,GA,-1.6195,11.6068,1622659833,21.12,94,17,0.44
Pampierstad,ZA,-27.7832,24.6877,1622659833,11.71,62,3,7.15
Dobanovci,RS,44.8269,20.2256,1622659833,18.28,48,0,1.34
Turinsk,RU,58.0458,63.696,1622659834,8.28,57,100,1.39
Tikhvin,RU,59.6451,33.5294,1622659834,12.9,60,8,2.87
Fortuna,US,40.5982,-124.1573,1622659834,30.82,90,90,4.63
Ambilobe,MG,-13.2,49.05,1622659835,23.46,69,91,1.7
Denpasar,ID,-8.65,115.2167,1622659639,25.81,100,20,2.04
Thompson,CA,55.7435,-97.8558,1622659835,27.09,34,75,6.69
Tanout,NE,14.9709,8.8879,1622659835,35.04,13,46,4.71
Qaqortoq,GL,60.7167,-46.0333,1622659836,6.14,70,100,8.73
San Miguel de Cozumel,MX,20.5083,-86.9458,1622659836,30.99,76,75,2.68
Tuensang,IN,26.2833,94.8333,1622659836,20.28,98,92,0.96
Hendek,TR,40.7994,30.7481,1622659837,9.58,92,11,1.91
San Miguel de Tucumán,AR,-26.8241,-65.2226,1622659808,23.0,46,0,2.46
Lakes Entrance,AU,-37.8811,147.981,1622659837,11.21,71,100,3.17
Abu Samrah,SY,35.3029,37.1841,1622659838,18.91,44,0,2.64
Bethel,US,41.3712,-73.414,1622659619,26.72,56,20,0.45
Saint George,US,37.1041,-113.5841,1622659557,37.26,13,88,0.45
Amazar,RU,53.858,120.875,1622659838,5.81,96,16,2.3
Killybegs,IE,54.6333,-8.45,1622659839,15.84,80,100,2.43
Sørkjosen,NO,69.8,20.9333,1622659839,15.4,55,30,0.9
Namtsy,RU,62.7161,129.6658,1622659839,11.06,78,89,2.53
Beyneu,KZ,45.3167,55.2,1622659839,32.17,25,0,5.28
Boysun,UZ,38.2061,67.1986,1622659840,24.81,20,0,3.58
Iquitos,PE,-3.7481,-73.2472,1622659840,32.02,62,75,1.03
Stepnogorsk,KZ,52.3544,71.8869,1622659840,17.19,45,100,6.37
Shingū,JP,33.7333,135.9833,1622659841,17.73,91,43,3.16
Haigerloch,DE,48.3661,8.8036,1622659841,23.53,63,93,0.59
Constitución,CL,-35.3333,-72.4167,1622659841,17.34,68,24,5.31
Rosetown,CA,51.5501,-108.0014,1622659842,29.95,25,96,2.06
Maumere,ID,-8.6199,122.2111,1622659842,25.86,83,96,2.15
Mount Isa,AU,-20.7333,139.5,1622659842,17.87,100,90,6.17
Kudahuvadhoo,MV,2.6708,72.8944,1622659843,28.58,69,66,7.27
Gillette,US,44.2911,-105.5022,1622659843,24.83,25,1,3.13
Bonthe,SL,7.5264,-12.505,1622659843,27.65,76,88,3.38
Kangaatsiaq,GL,68.3065,-53.4641,1622659844,2.85,70,12,5.24
Saldanha,ZA,-33.0117,17.9442,1622659844,16.03,84,51,7.54
Kalabo,ZM,-14.97,22.6814,1622659844,18.64,37,13,2.03
Port Macquarie,AU,-31.4333,152.9167,1622659845,11.32,77,92,2.65
Buchanan,LR,5.8808,-10.0467,1622659589,26.45,85,83,3.65
Itoman,JP,26.1247,127.6694,1622659845,27.43,92,75,5.14
Atar,MR,20.5169,-13.0499,1622659603,42.03,23,40,5.14
Panalingaan,PH,8.7842,117.4231,1622659846,26.55,87,100,2.35
Nānākuli,US,21.3906,-158.1547,1622659846,27.8,67,1,4.1
Fukuechō,JP,32.6881,128.8419,1622659846,20.15,91,100,10.17
Burns Lake,CA,54.2331,-125.7533,1622659847,15.68,47,100,3.12
Yenagoa,NG,4.9247,6.2642,1622659847,25.34,88,95,2.72
Formosa do Rio Preto,BR,-11.0483,-45.1931,1622659847,33.44,25,98,2.58
Hofn,IS,64.2539,-15.2082,1622659847,8.01,93,90,8.23
Alice Springs,AU,-23.7,133.8833,1622659817,8.75,71,38,3.2
Maradi,NE,13.5,7.1017,1622659848,39.12,19,0,1.03
Aripuanã,BR,-9.1667,-60.6333,1622659848,33.82,29,0,1.22
Departamento de Maldonado,UY,-34.6667,-54.9167,1622659848,13.66,70,6,6.11
Tilichiki,RU,60.4667,166.1,1622659849,6.58,66,17,0.76
Phonhong,LA,18.5007,102.4166,1622659849,26.88,79,58,0.57
Hay River,CA,60.8156,-115.7999,1622659849,14.99,63,75,3.6
Uruguaiana,BR,-29.7547,-57.0883,1622659850,21.96,49,0,6.69
Upata,VE,8.0086,-62.3989,1622659850,31.77,62,91,1.84
Tuatapere,NZ,-46.1333,167.6833,1622659850,9.9,90,40,2.12
Newry,GB,54.1784,-6.3374,1622659851,19.41,88,100,2.21
Salalah,OM,17.0151,54.0924,1622659851,26.91,81,98,3.72
Tigzirt,DZ,36.8886,4.1198,1622659852,20.64,65,83,1.76
Emba,KZ,48.8264,58.1442,1622659852,24.45,45,26,1.66
Pueblo Nuevo,MX,23.3833,-105.3833,1622659852,23.59,36,100,1.97
Southampton,GB,50.904,-1.4043,1622659776,21.67,79,40,3.6
Ust-Tsilma,RU,65.441,52.1498,1622659853,5.92,86,100,4.76
Tiksi,RU,71.6872,128.8694,1622659853,8.64,76,100,4.61
Tegul'det,RU,57.3064,88.1667,1622659854,13.01,96,52,2.07
Chicama,PE,-7.8447,-79.1469,1622659854,18.3,62,95,4.41
Harsīn,IR,34.2721,47.5861,1622659854,23.45,26,0,1.61
Cairns,AU,-16.9167,145.7667,1622659581,18.97,96,40,0.51
Pacific Grove,US,36.6177,-121.9166,1622659633,27.67,80,75,3.13
Yamada,JP,39.4667,141.95,1622659855,15.15,91,6,1.68
Aras,ES,42.5617,-2.356,1622659855,24.23,44,0,1.54
Guadalupe,MX,25.6833,-100.25,1622659832,31.46,60,87,1.34
Srednekolymsk,RU,67.45,153.6833,1622659573,16.35,33,49,1.78
Meulaboh,ID,4.1363,96.1285,1622659856,25.73,88,100,1.35
Cabedelo,BR,-6.9811,-34.8339,1622659856,28.37,74,0,6.22
Demirci,TR,39.0461,28.6589,1622659856,9.93,78,2,2.6
Yumen,CN,40.2833,97.2,1622659786,15.19,14,4,4.77
Bathsheba,BB,13.2167,-59.5167,1622659581,30.34,54,40,6.0
Gannan,CN,47.9147,123.5031,1622659857,11.54,92,100,1.95
Haines Junction,CA,60.7522,-137.5108,1622659857,12.97,47,100,1.03
Taoudenni,ML,22.6783,-3.9836,1622659857,41.8,8,19,3.0
Saint-Louis,SN,16.3333,-15.0,1622659858,41.8,17,4,1.26
Businga,CD,3.3333,20.8833,1622659858,23.46,82,56,1.04
Loandjili,CG,-4.7561,11.8578,1622659858,27.06,83,40,2.57
Ribeira Grande,PT,38.5167,-28.7,1622659859,18.22,55,20,4.12
Biak,ID,-0.9131,122.8766,1622659859,24.02,80,100,2.49
Flin Flon,CA,54.7682,-101.865,1622659859,26.91,36,40,4.79
Saint-François,FR,46.4154,3.9054,1622659859,20.38,83,0,1.54
Liberal,US,37.0431,-100.921,1622659860,23.97,56,1,3.6
Taree,AU,-31.9,152.4667,1622659860,11.3,100,89,2.57
Zhumadian,CN,32.9794,114.0294,1622659860,20.33,86,100,6.86
Talnakh,RU,69.4865,88.3972,1622659861,0.74,91,100,3.48
Neuquén,AR,-38.9516,-68.0591,1622659830,12.94,44,0,1.03
Gwadar,PK,25.1216,62.3254,1622659861,29.03,85,0,2.62
Harper,LR,4.375,-7.7169,1622659862,26.61,83,19,3.32
Najrān,SA,17.4924,44.1277,1622659779,30.36,17,100,1.36
Cauquenes,CL,-35.9671,-72.3225,1622659862,19.28,52,24,1.56
Kasangulu,CD,-4.5911,15.1708,1622659862,27.49,82,12,2.12
Saint Anthony,US,45.0205,-93.218,1622659863,27.39,45,75,1.79
Mossamedes,AO,-15.1961,12.1522,1622659863,22.25,82,88,3.03
Verkhoyansk,RU,67.5447,133.385,1622659863,15.98,52,94,0.53
Marrakesh,MA,31.6315,-8.0083,1622659588,31.04,27,40,2.06
Porto Torres,IT,40.835,8.3972,1622659864,23.1,71,10,2.14
Shimokizukuri,JP,40.8061,140.3861,1622659864,11.73,89,52,1.72
Porosozero,RU,62.7191,32.727,1622659865,12.91,63,61,1.01
Chimoio,MZ,-19.1164,33.4833,1622659865,20.92,94,75,1.01
Pitimbu,BR,-7.4706,-34.8086,1622659865,28.33,74,12,5.75
Tiarei,PF,-17.5333,-149.3333,1622659865,28.01,70,55,4.99
Ostrovnoy,RU,68.0531,39.5131,1622659866,7.03,88,80,1.6
Panzhihua,CN,26.5851,101.7128,1622659866,25.16,65,96,1.62
Aktash,RU,50.3,87.7333,1622659866,8.13,81,92,1.3
